Comic Title,Publication Year,Cover URL
Thor (1966) #478,1994,http://i.annihil.us/u/prod/marvel/i/mg/e/50/50b520cbcfad3.jpg
Thor (1966) #477,1994,http://i.annihil.us/u/prod/marvel/i/mg/2/70/50b5212b088a2.jpg
Thor (1966) #476,1994,http://i.annihil.us/u/prod/marvel/i/mg/6/60/52615ded447e1.jpg
Thor (1966) #475,1994,http://i.annihil.us/u/prod/marvel/i/mg/6/10/50b3f286444ac.jpg
Thor (1966) #474,1994,http://i.annihil.us/u/prod/marvel/i/mg/e/90/50b3f34d3abcd.jpg
Fantastic Four (1961) #388,1994,http://i.annihil.us/u/prod/marvel/i/mg/f/a0/5ac7d3f9e5fa2.jpg
Thor (1966) #473,1994,http://i.annihil.us/u/prod/marvel/i/mg/2/90/51001b265a6c8.jpg
Thor (1966) #472,1994,http://i.annihil.us/u/prod/marvel/i/mg/9/70/50b3f83e14ee7.jpg
Warlock and the Infinity Watch (1992) #25,1994,http://i.annihil.us/u/prod/marvel/i/mg/f/a0/5b3baf69b9c8a.jpg
Thor (1966) #471,1994,http://i.annihil.us/u/prod/marvel/i/mg/3/40/5151c9c9514c2.jpg
Incredible Hulk Annual (1976) #20,1994,http://i.annihil.us/u/prod/marvel/i/mg/e/d0/5d4dd128aa4bd.jpg
Thor Annual (1966) #19,1994,http://i.annihil.us/u/prod/marvel/i/mg/7/40/64d3e09e94f84.jpg
Silver Surfer (1987) #88,1994,http://i.annihil.us/u/prod/marvel/i/mg/e/a0/5b33ec1d2f1ea.jpg
Thor (1966) #470,1994,http://i.annihil.us/u/prod/marvel/i/mg/a/03/51812985a46e2.jpg
Warlock Chronicles (1993) #6,1993,http://i.annihil.us/u/prod/marvel/i/mg/4/b0/5769976dd11f9.jpg
Warlock and the Infinity Watch (1992) #23,1993,http://i.annihil.us/u/prod/marvel/i/mg/b/10/5b3baf41a2c11.jpg
Thor (1966) #423,1990,http://i.annihil.us/u/prod/marvel/i/mg/2/d0/514b624b352d4.jpg
"Peter Parker, the Spectacular Spider-Man (1976) #168",1990,http://i.annihil.us/u/prod/marvel/i/mg/4/30/5d38760c6778b.jpg
Thor Annual (1966) #15,1990,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
Thor (1966) #421,1990,http://i.annihil.us/u/prod/marvel/i/mg/5/30/514a10c6b05b4.jpg
Thor (1966) #420,1990,http://i.annihil.us/u/prod/marvel/i/mg/c/03/514a0b6547897.jpg
Thor (1966) #419,1990,http://i.annihil.us/u/prod/marvel/i/mg/3/f0/5149d8860ff41.jpg
What If? (1989) #15,1990,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
Fantastic Four (1961) #341,1990,http://i.annihil.us/u/prod/marvel/i/mg/c/50/4c365f92dcac3.jpg
Thor (1966) #418,1990,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/5149d2aeca09b.jpg
Avengers (1963) #318,1990,http://i.annihil.us/u/prod/marvel/i/mg/d/90/588b9c92ebff7.jpg
Fantastic Four (1961) #340,1990,http://i.annihil.us/u/prod/marvel/i/mg/c/20/5ac675e16bfb0.jpg
Thor (1966) #417,1990,http://i.annihil.us/u/prod/marvel/i/mg/3/60/5148951350dce.jpg
Avengers (1963) #317,1990,http://i.annihil.us/u/prod/marvel/i/mg/2/20/588b89986a386.jpg
Marvel Fanfare (1982) #50,1990,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
Fantastic Four (1961) #339,1990,http://i.annihil.us/u/prod/marvel/i/mg/c/80/5ac6529c3ff3c.jpg
